Date,close,ds,y,lag_1,lag_2,lag_3,lag_5,lag_10,lag_21,rolling_mean_7,rolling_mean_21,rolling_mean_63
2016-04-05,1228.4000244140625,2016-04-05,1228.4000244140625,1218.0,1222.199951171875,1234.199951171875,1235.5999755859375,1243.800048828125,1269.9000244140625,1226.4571358816963,1240.8238060360864,1188.3206341455852
2016-04-06,1222.5,2016-04-06,1222.5,1228.4000244140625,1218.0,1222.199951171875,1226.9000244140625,1248.199951171875,1263.199951171875,1226.8285609654017,1238.8857131231398,1190.6079353453622
2016-04-07,1236.199951171875,2016-04-07,1236.199951171875,1222.5,1228.4000244140625,1218.0,1234.199951171875,1223.699951171875,1262.0999755859375,1226.914271763393,1237.652378627232,1192.898410373264
2016-04-08,1242.5,2016-04-08,1242.5,1236.199951171875,1222.5,1228.4000244140625,1222.199951171875,1221.4000244140625,1256.5999755859375,1229.1428397042412,1236.9809512183779,1195.038093687996
2016-04-11,1256.699951171875,2016-04-11,1256.699951171875,1242.5,1236.199951171875,1222.5,1218.0,1219.9000244140625,1272.0,1232.3571254185267,1236.2523774646577,1197.560314360119
2016-04-12,1259.4000244140625,2016-04-12,1259.4000244140625,1256.699951171875,1242.5,1236.199951171875,1228.4000244140625,1235.5999755859375,1258.699951171875,1237.671421595982,1236.2857142857142,1200.1460290333582
2016-04-13,1246.800048828125,2016-04-13,1246.800048828125,1259.4000244140625,1256.699951171875,1242.5,1222.5,1226.9000244140625,1244.4000244140625,1241.7857142857142,1236.4000011625744,1202.7047603546628
2016-04-14,1225.0,2016-04-14,1225.0,1246.800048828125,1259.4000244140625,1256.699951171875,1236.199951171875,1234.199951171875,1230.4000244140625,1241.2999965122767,1236.142857142857,1204.8873000372023
2016-04-15,1233.0999755859375,2016-04-15,1233.0999755859375,1225.0,1246.800048828125,1259.4000244140625,1242.5,1222.199951171875,1229.300048828125,1242.8142787388392,1236.3238060360864,1207.414283389137
2016-04-18,1233.5999755859375,2016-04-18,1233.5999755859375,1233.0999755859375,1225.0,1246.800048828125,1256.699951171875,1218.0,1264.5,1242.4428536551338,1234.8523763020833,1209.6698385571676
2016-04-19,1253.0,2016-04-19,1253.0,1233.5999755859375,1233.0999755859375,1225.0,1259.4000244140625,1228.4000244140625,1253.800048828125,1243.9428536551338,1234.8142787388392,1212.2587270585318
2016-04-20,1253.199951171875,2016-04-20,1253.199951171875,1253.0,1233.5999755859375,1233.0999755859375,1246.800048828125,1222.5,1243.800048828125,1243.4428536551338,1235.2618931361608,1214.5777742900545
2016-04-21,1249.0,2016-04-21,1249.0,1253.199951171875,1253.0,1233.5999755859375,1225.0,1236.199951171875,1248.199951171875,1241.9571358816963,1235.2999906994048,1216.9571397569443
2016-04-22,1228.699951171875,2016-04-22,1228.699951171875,1249.0,1253.199951171875,1253.0,1233.0999755859375,1242.5,1223.699951171875,1239.3714076450892,1235.5380859375,1219.044441344246
2016-04-25,1238.9000244140625,2016-04-25,1238.9000244140625,1228.699951171875,1249.0,1253.199951171875,1233.5999755859375,1256.699951171875,1221.4000244140625,1241.3571254185267,1236.3714192708333,1221.1507917131696
2016-04-26,1242.199951171875,2016-04-26,1242.199951171875,1238.9000244140625,1228.699951171875,1249.0,1253.0,1259.4000244140625,1219.9000244140625,1242.6571219308037,1237.4333205450148,1223.0634901258682
2016-04-27,1249.199951171875,2016-04-27,1249.199951171875,1242.199951171875,1238.9000244140625,1228.699951171875,1253.199951171875,1246.800048828125,1235.5999755859375,1244.8856898716517,1238.0809384300596,1225.1761881510417
2016-04-28,1265.5,2016-04-28,1265.5,1249.199951171875,1242.199951171875,1238.9000244140625,1249.0,1225.0,1226.9000244140625,1246.6714041573662,1239.9190325055804,1227.5555536179315
2016-04-29,1289.199951171875,2016-04-29,1289.199951171875,1265.5,1249.199951171875,1242.199951171875,1228.699951171875,1233.0999755859375,1234.199951171875,1251.8142613002233,1242.5380801246279,1230.2984095982142
2016-05-02,1294.699951171875,2016-05-02,1294.699951171875,1289.199951171875,1265.5,1249.199951171875,1238.9000244140625,1233.5999755859375,1222.199951171875,1258.3428257533483,1245.9904610770088,1232.9460274832588
2016-05-03,1290.699951171875,2016-05-03,1290.699951171875,1294.699951171875,1289.199951171875,1265.5,1242.199951171875,1253.0,1218.0,1267.1999686104912,1249.4523635137648,1235.5396767268105
2016-05-04,1273.300048828125,2016-05-04,1273.300048828125,1290.699951171875,1294.699951171875,1289.199951171875,1249.199951171875,1253.199951171875,1228.4000244140625,1272.1142578125,1251.5904599144346,1237.6349148220486
2016-05-05,1271.4000244140625,2016-05-05,1271.4000244140625,1273.300048828125,1290.699951171875,1294.699951171875,1265.5,1249.0,1222.5,1276.2856968470983,1253.9190325055804,1239.4412648034474
2016-05-06,1292.9000244140625,2016-05-06,1292.9000244140625,1271.4000244140625,1273.300048828125,1290.699951171875,1289.199951171875,1228.699951171875,1236.199951171875,1282.528564453125,1256.6190359933037,1241.585708860367
2016-05-09,1265.5999755859375,2016-05-09,1265.5999755859375,1292.9000244140625,1271.4000244140625,1273.300048828125,1294.699951171875,1238.9000244140625,1242.5,1282.5428466796875,1257.7190348307292,1242.6603112599207
2016-05-10,1263.9000244140625,2016-05-10,1263.9000244140625,1265.5999755859375,1292.9000244140625,1271.4000244140625,1290.699951171875,1242.199951171875,1256.699951171875,1278.9285714285713,1258.0618954613096,1243.6952330574156
2016-05-11,1274.5999755859375,2016-05-11,1274.5999755859375,1263.9000244140625,1265.5999755859375,1292.9000244140625,1273.300048828125,1249.199951171875,1259.4000244140625,1276.0571463448662,1258.7857026599702,1244.9634874131943
2016-05-12,1270.300048828125,2016-05-12,1270.300048828125,1274.5999755859375,1263.9000244140625,1265.5999755859375,1271.4000244140625,1265.5,1246.800048828125,1273.1428745814733,1259.904750279018,1245.3190433562747
2016-05-13,1271.9000244140625,2016-05-13,1271.9000244140625,1270.300048828125,1274.5999755859375,1263.9000244140625,1292.9000244140625,1289.199951171875,1225.0,1272.94287109375,1262.1380847749256,1245.8396790519594
2016-05-16,1273.4000244140625,2016-05-16,1273.4000244140625,1271.9000244140625,1270.300048828125,1274.5999755859375,1265.5999755859375,1294.699951171875,1233.0999755859375,1273.2285853794642,1264.0571347191221,1246.8793615916418
2016-05-17,1276.199951171875,2016-05-17,1276.199951171875,1273.4000244140625,1271.9000244140625,1270.300048828125,1263.9000244140625,1290.699951171875,1233.5999755859375,1270.8428606305804,1266.085704985119,1247.9126945374503
2016-05-18,1273.699951171875,2016-05-18,1273.699951171875,1276.199951171875,1273.4000244140625,1271.9000244140625,1274.5999755859375,1273.300048828125,1253.0,1272.0,1267.0714169456846,1248.6682497054812
2016-05-19,1254.199951171875,2016-05-19,1254.199951171875,1273.699951171875,1276.199951171875,1273.4000244140625,1270.300048828125,1271.4000244140625,1253.199951171875,1270.6142752511162,1267.1190359933037,1249.0460263206846
2016-05-20,1252.4000244140625,2016-05-20,1252.4000244140625,1254.199951171875,1273.699951171875,1276.199951171875,1271.9000244140625,1292.9000244140625,1249.0,1267.4428536551338,1267.2809419177827,1249.7269790891617
2016-05-23,1251.0999755859375,2016-05-23,1251.0999755859375,1252.4000244140625,1254.199951171875,1273.699951171875,1273.4000244140625,1265.5999755859375,1228.699951171875,1264.699986049107,1268.3476097470239,1250.1841207837301
2016-05-24,1228.9000244140625,2016-05-24,1228.9000244140625,1251.0999755859375,1252.4000244140625,1254.199951171875,1276.199951171875,1263.9000244140625,1238.9000244140625,1258.55712890625,1267.8714192708333,1250.0285663907491
2016-05-25,1223.5,2016-05-25,1223.5,1228.9000244140625,1251.0999755859375,1252.4000244140625,1273.699951171875,1274.5999755859375,1242.199951171875,1251.4285539899554,1266.980945405506,1249.7952338324653
2016-05-26,1220.0999755859375,2016-05-26,1220.0999755859375,1223.5,1228.9000244140625,1251.0999755859375,1254.199951171875,1270.300048828125,1249.199951171875,1243.414271763393,1265.5952322823662,1249.7999945746528
2016-05-27,1213.800048828125,2016-05-27,1213.800048828125,1220.0999755859375,1223.5,1228.9000244140625,1252.4000244140625,1271.9000244140625,1265.5,1234.857142857143,1263.1333298456102,1249.4809473431299
2016-05-31,1214.800048828125,2016-05-31,1214.800048828125,1213.800048828125,1220.0999755859375,1223.5,1251.0999755859375,1273.4000244140625,1289.199951171875,1229.2285853794642,1259.5904773530506,1249.2349155970983
2016-06-01,1211.9000244140625,2016-06-01,1211.9000244140625,1214.800048828125,1213.800048828125,1220.0999755859375,1228.9000244140625,1276.199951171875,1294.699951171875,1223.44287109375,1255.6476236979167,1248.7714243086557
2016-06-02,1209.800048828125,2016-06-02,1209.800048828125,1211.9000244140625,1214.800048828125,1213.800048828125,1223.5,1273.699951171875,1290.699951171875,1217.5428815569196,1251.7952473958333,1248.015869140625
2016-06-03,1240.0999755859375,2016-06-03,1240.0999755859375,1209.800048828125,1211.9000244140625,1214.800048828125,1220.0999755859375,1254.199951171875,1273.300048828125,1219.1428745814733,1250.2142915271577,1247.5428524925596
