ds,yhat,yhat_lower,yhat_upper
2024-09-03,2176.5587536839957,1855.9132389542983,2520.6879987699162
2024-09-04,2176.9999652455435,1838.3473066096092,2506.696098062107
2024-09-05,2177.3379160263366,1864.4136191647174,2523.4595886134653
2024-09-06,2177.8399844069813,1854.607083152298,2507.9515112792255
2024-09-07,2178.6601233555857,1835.8522157884377,2514.302448903503
2024-09-08,2179.4266950315805,1855.2074194839438,2548.265630987166
2024-09-09,2179.355350793193,1843.7575407075053,2524.417253768596
2024-09-10,2177.863859571338,1832.6353362511495,2566.2474142834985
2024-09-11,2175.133895974641,1834.7051443067091,2531.377546385306
2024-09-12,2172.0556815018713,1828.2011526169406,2540.797274676102
2024-09-13,2169.5444400231536,1821.7572915856706,2536.937283401371
2024-09-14,2167.8170066020098,1831.4497043150716,2536.0658108088264
2024-09-15,2166.2813748894464,1813.1437838834668,2546.9998499331477
2024-09-16,2164.1404097618583,1810.6911309463596,2524.131329342565
2024-09-17,2161.153311329977,1816.720247711086,2571.3771910023565
2024-09-18,2157.8557731310507,1813.0313443835428,2534.626631911649
2024-09-19,2155.0503979105097,1801.2695996883815,2547.4809314376944
2024-09-20,2153.061817841823,1781.6204015144672,2553.998398536461
2024-09-21,2151.461651922451,1788.9792650093532,2536.9455211855716
2024-09-22,2149.5123512272316,1798.0263928177326,2528.609927287848
2024-09-23,2146.8949301569896,1773.0657711228573,2538.5999880114023
2024-09-24,2144.0242518254363,1766.0698835835947,2538.3519644497137
2024-09-25,2141.6585236077126,1769.9626613162968,2525.117155385486
2024-09-26,2140.1840478247286,1763.2914667541536,2562.0712396990307
2024-09-27,2139.257213656758,1764.1657194508557,2553.2492462927135
2024-09-28,2138.1348686866004,1768.9271553075355,2546.9287689728576
2024-09-29,2136.3690583089938,1770.2408028724315,2525.7791306108875
2024-09-30,2134.212246299725,1740.6826772813108,2553.206250206889
2024-10-01,2132.3779869941736,1752.4760056451548,2547.944006351476
2024-10-02,2131.4232547169454,1736.2244399823396,2538.8236330220643
2024-10-03,2131.355330816554,1728.1233218045709,2567.032448394292
2024-10-04,2131.804748368184,1726.1537876573825,2537.2435845760956
2024-10-05,2132.5243334033753,1733.9034423588384,2560.708095052036
2024-10-06,2133.6585922467593,1733.748687525149,2556.668922979119
2024-10-07,2135.4889179795896,1744.3583439209901,2570.797125053054
2024-10-08,2137.928535112271,1725.2066341643351,2562.124705597634
2024-10-09,2140.3355465543436,1726.621769993143,2565.693528173706
2024-10-10,2141.9204538944477,1728.575509451763,2563.3877965404477
2024-10-11,2142.420703570763,1727.9394417364301,2581.964100720492
2024-10-12,2142.3993351350214,1724.2174848401721,2579.7383522615637
2024-10-13,2142.832907147469,1732.696916232719,2584.8541537238793
2024-10-14,2144.314200341961,1722.164917385864,2606.3763194800417
2024-10-15,2146.5782061694313,1724.0208831639457,2574.297140343318
2024-10-16,2148.7838781208807,1732.6418309047106,2603.4125860974214
2024-10-17,2150.2930651679953,1737.1273051813346,2587.6115686670005
2024-10-18,2151.229692475608,1707.6597112519648,2606.8507677160183
2024-10-19,2152.3123323319087,1716.4687428842512,2605.8594337956647
2024-10-20,2154.136097093783,1720.663603435035,2602.88367211347
2024-10-21,2156.590711019344,1722.6398650236554,2627.182611048279
2024-10-22,2158.960153171774,1723.1884321763066,2611.9736519871026
2024-10-23,2160.595787527634,1693.2093179304318,2625.1129797666363
2024-10-24,2161.5140201060067,1713.472709190247,2623.9104854804286
2024-10-25,2162.3521532434097,1683.3674624352147,2658.707543158934
2024-10-26,2163.7343898035942,1695.0631800967185,2642.397535341298
2024-10-27,2165.658191291341,1702.3307030195904,2627.7267449203614
2024-10-28,2167.480631256406,1698.287973610808,2656.92465457964
2024-10-29,2168.506283984518,1718.6490281345052,2655.4851931906705
2024-10-30,2168.614253143151,1716.7151650686155,2675.4047146759344
2024-10-31,2168.3470506188387,1704.1899573495477,2676.76278409435
2024-11-01,2168.4145139181205,1714.3244556099335,2651.0020079202054
2024-11-02,2169.115594625335,1700.9854945223299,2669.609475135086
2024-11-03,2170.2208896405523,1702.3635753651233,2670.514112020755
2024-11-04,2171.3705525739233,1706.2811856045098,2666.7329063188677
2024-11-05,2172.52439296103,1681.853771993278,2672.922705605911
2024-11-06,2173.970548408745,1678.5447064106202,2696.8646623685104
2024-11-07,2175.879707996741,1711.7332939475593,2682.953352353597
2024-11-08,2177.8924670729393,1694.0343393066046,2653.6229166107
2024-11-09,2179.2318623330216,1659.6643437725058,2694.3784506084417
2024-11-10,2179.317997607685,1686.110827359665,2694.7278171033936
2024-11-11,2178.3297751981477,1674.5065409926876,2708.648190058199
2024-11-12,2177.149625584234,1678.888757768303,2697.7193929841947
2024-11-13,2176.6801921560614,1663.329135681767,2691.402225543627
2024-11-14,2177.121301748323,1657.6658215734465,2717.263014796995
2024-11-15,2177.8599944107423,1682.3897394703256,2711.3553979911553
2024-11-16,2178.074824154045,1641.1574494783852,2703.938068714745
2024-11-17,2177.4979991829478,1660.6375576547714,2720.0249545787924
2024-11-18,2176.6362846488396,1652.6850418450128,2729.735917522618
2024-11-19,2176.26220995692,1654.1834425132504,2703.158038187068
2024-11-20,2176.670005121092,1651.4341802008153,2728.9699443721443
2024-11-21,2177.4013761926294,1671.0043486147579,2727.427160870828
2024-11-22,2177.6901480041224,1657.3795730659967,2716.443682052294
2024-11-23,2177.1907508109675,1634.3683902253208,2738.560826809101
2024-11-24,2176.29419888216,1620.1066657178862,2719.661942761575
